Geschlecht,Koerpergroesse,Schuhgroesse
Frau,160,40
Frau,171,39
Frau,174,39
Frau,176,40
Mann,195,46
Frau,157,37
Frau,160,38
Frau,178,39
Frau,168,38
Mann,171,41
Frau,165,39
Mann,175,44
Frau,163,38
Frau,158,37
Frau,159,38
Mann,183,44
Frau,155,37
Frau,172,39
Frau,164,39
Frau,158,35
Frau,174,37
Frau,164,37
Frau,168,38
Frau,168,38
Frau,163,37
Frau,160,37
Mann,183,46
Frau,161,38
Frau,162,36
Frau,165,37
Frau,164,36
Frau,161,37
Frau,163,39
Frau,169,40
Frau,171,39
Frau,163,38
Frau,159,36
Frau,180,42
Frau,168,38
Frau,170,38
Frau,168,38
Mann,180,42
Mann,183,44
Frau,170,40
Frau,172,39
Frau,163,38
Frau,168,38
Frau,184,41
Frau,169,38
Mann,206,50
Frau,165,38
Frau,171,40
Frau,165,37
Frau,168,38
Mann,180,44
Frau,160,40
Mann,183,44
Frau,160,36
Frau,171,40
Frau,167,39
Frau,172,37
Frau,163,38
Frau,173,38
Mann,187,44
Frau,176,40
Mann,180,42
Frau,171,39
Frau,364,88
Frau,168,36
Frau,175,39
Mann,185,42
Mann,205,48
Frau,165,36
Mann,175,42
Mann,175,42
Mann,172,41
Frau,156,36
Frau,168,38
Frau,163,37
Frau,163,38
Frau,173,38
Frau,169,39
Frau,178,39
Frau,170,38
Frau,168,38
Frau,170,39
Frau,173,40
Frau,171,40
Frau,163,38
Frau,166,38
Frau,159,38
Frau,178,41
Mann,178,44
Frau,169,40
Frau,158,37
Frau,170,39
Frau,183,39
Frau,173,40
Frau,160,37
Frau,168,39
